X,Y,support,confidence,lift
Neighborhoods - Analysis Boundaries:Nob Hill,Supervisor District:3,0.003187531,1,69.52114645
"Existing Construction Type:5, Proposed Construction Type:5, Supervisor District:2",Permit Type:8,0.003182504,0.645259939,11.62835932
"Permit Type:8, Proposed Construction Type:5, Supervisor District:2",Existing Construction Type:5,0.003182504,0.935007386,22.62444878
"Permit Type:8, Existing Construction Type:5, Supervisor District:2",Proposed Construction Type:5,0.003182504,0.981395349,24.05119947
"Permit Type:8, Supervisor District:8",Existing Construction Type:5,0.003162393,0.626494024,15.1593262
Neighborhoods - Analysis Boundaries:Tenderloin,Supervisor District:6,0.003137255,0.717241379,47.74407977
"Proposed Construction Type:5, Fire Only Permit:Y, Current Status:complete",Existing Construction Type:5,0.003132227,0.867688022,20.99551674
"Existing Construction Type:5, Fire Only Permit:Y, Current Status:complete",Proposed Construction Type:5,0.003132227,0.990461049,24.27337392
"Existing Construction Type:5, Supervisor District:8, Proposed Construction Type:5",Permit Type:8,0.0031272,0.607421875,10.94647195
"Permit Type:8, Supervisor District:8, Existing Construction Type:5",Proposed Construction Type:5,0.0031272,0.988871224,24.23441184
"Permit Type:8, Supervisor District:8","Existing Construction Type:5, Proposed Construction Type:5",0.0031272,0.619521912,16.548873
"Permit Type:8, Supervisor District:8, Proposed Construction Type:5",Existing Construction Type:5,0.0031272,0.91740413,22.19850139
"Fire Only Permit:Y, Existing Construction Type:1",Permit Type:8,0.003117144,0.808344198,14.56733361
"Structural Notification:Y, Existing Use:1 family dwelling",Existing Construction Type:5,0.003117144,0.981012658,23.73764206
"Supervisor District:6, Proposed Construction Type:5",Existing Construction Type:5,0.003112117,0.917037037,22.18961882
"Existing Construction Type:5, Supervisor District:6",Proposed Construction Type:5,0.003112117,0.86452514,21.18704414
Zipcode:94115,Permit Type:8,0.003097034,0.656017039,11.8222152
"Permit Type:8, Fire Only Permit:Y, Existing Construction Type:1",Proposed Construction Type:1,0.003092006,0.991935484,70.99531045
"Fire Only Permit:Y, Existing Construction Type:1","Proposed Construction Type:1, Permit Type:8",0.003092006,0.801825293,83.4989795
"Proposed Construction Type:1, Fire Only Permit:Y, Existing Construction Type:1",Permit Type:8,0.003092006,0.807086614,14.54467043
"Proposed Construction Type:1, Fire Only Permit:Y","Permit Type:8, Existing Construction Type:1",0.003092006,0.706896552,80.38977938
"Proposed Construction Type:1, Permit Type:8, Fire Only Permit:Y",Existing Construction Type:1,0.003092006,0.884892086,62.81407422
"Structural Notification:Y, Existing Use:1 family dwelling",Proposed Construction Type:5,0.003086978,0.971518987,23.80915803
Zipcode:94114,Supervisor District:8,0.003086978,0.93740458,112.5224931
